expName,session,condition,date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,block_with_partner,trial_in_block,dot_count_low,dot_count_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,joint_correct,participant_chosen,partner_chosen,next_dot_count_low,next_stair_value,next_dot_count_high,previous_trial_correct
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,False,True,None,None,0,1,200,267,4.2,left,left,True,None,None,None,None,None,None,None,200,4.2,267,True
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,False,True,None,None,0,2,200,267,4.2,right,right,True,None,None,None,None,None,None,None,200,3.8000000000000003,245,True
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,False,True,None,None,0,3,200,245,3.8000000000000003,right,right,True,None,None,None,None,None,None,None,200,3.4000000000000004,230,True
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,False,True,None,None,0,4,200,230,3.4000000000000004,right,right,True,None,None,None,None,None,None,None,200,3.0000000000000004,220,True
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,False,True,None,None,0,5,200,220,3.0000000000000004,left,left,True,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,True,False,None,None,0,1,200,213,2.6000000000000005,right,left,False,70.88,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,True,False,None,None,0,2,200,213,2.6000000000000005,right,left,False,79.75,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,True,False,None,None,0,3,200,213,2.6000000000000005,left,left,True,94.12,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,True,False,None,None,0,4,200,213,2.6000000000000005,right,left,False,80.12,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,True,False,None,None,0,5,200,213,2.6000000000000005,left,left,True,71.38,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,True,False,overconfident,magenta,1,1,200,213,2.6000000000000005,right,left,False,74.0,right,True,89.19,True,False,True,200,2.6000000000000005,213,False
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,True,False,overconfident,magenta,1,2,200,213,2.6000000000000005,right,left,False,87.88,right,True,91.66,True,False,True,200,2.6000000000000005,213,False
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,True,False,overconfident,magenta,1,3,200,213,2.6000000000000005,left,left,True,91.38,left,True,93.99,True,False,True,200,2.6000000000000005,213,True
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,True,False,overconfident,magenta,2,1,200,213,2.6000000000000005,left,right,False,78.88,right,False,88.63,False,False,True,200,2.6000000000000005,213,False
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,True,False,overconfident,magenta,2,2,200,213,2.6000000000000005,right,right,True,90.38,right,True,89.37,True,True,False,200,2.6000000000000005,213,True
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,True,False,overconfident,magenta,2,3,200,213,2.6000000000000005,right,left,False,59.25,right,True,91.51,True,False,True,200,2.6000000000000005,213,False
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,True,False,overconfident,magenta,3,1,200,213,2.6000000000000005,right,left,False,58.13,right,True,93.27,True,False,True,200,2.6000000000000005,213,False
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,True,False,overconfident,magenta,3,2,200,213,2.6000000000000005,right,left,False,76.0,left,False,90.06,False,False,True,200,2.6000000000000005,213,False
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,True,False,overconfident,magenta,3,3,200,213,2.6000000000000005,right,right,True,74.38,left,False,91.04,False,False,True,200,2.6000000000000005,213,True
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,True,False,underconfident,yellow,1,1,200,213,2.6000000000000005,right,left,False,75.75,right,True,65.32,False,True,False,200,2.6000000000000005,213,False
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,True,False,underconfident,yellow,1,2,200,213,2.6000000000000005,right,left,False,61.0,right,True,62.98,True,False,True,200,2.6000000000000005,213,False
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,True,False,underconfident,yellow,1,3,200,213,2.6000000000000005,left,left,True,77.62,left,True,63.44,True,True,False,200,2.6000000000000005,213,True
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,True,False,underconfident,yellow,2,1,200,213,2.6000000000000005,left,left,True,71.5,left,True,65.4,True,True,False,200,2.6000000000000005,213,True
Confidence Matching EEG,,s,2021_Sep_28_0123,,,,True,False,underconfident,yellow,2,2,200,213,2.6000000000000005,left,left,True,84.0,left,True,66.9,True,True,False,200,2.6000000000000005,213,True
