expName,curec_ID,session,condition,date,end_date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,trial_count,block_count,block_with_partner,trial_in_block,dot_count_low,dot_count_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,joint_correct,participant_chosen,partner_chosen,trial_score,final_score,reward,p1_likeability,p1_confidence,p1_accuracy,p1_team_work,p2_likeability,p2_confidence,p2_accuracy,p2_team_work,next_dot_count_low,next_stair_value,next_dot_count_high,previous_trial_correct
Confidence Matching EEG,R67369/RE001,,,2021_Sep_28_1252,None,,,,False,True,None,None,1,1,0,1,200,267,4.2,left,left,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,4.2,267,True
Confidence Matching EEG,R67369/RE001,,,2021_Sep_28_1252,None,,,,False,True,None,None,2,1,0,2,200,267,4.2,right,left,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,4.6000000000000005,299,False
Confidence Matching EEG,R67369/RE001,,,2021_Sep_28_1252,None,,,,False,True,None,None,3,1,0,3,200,299,4.6000000000000005,left,left,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,4.6000000000000005,299,True
Confidence Matching EEG,R67369/RE001,,,2021_Sep_28_1252,None,,,,True,False,None,None,4,2,0,1,200,299,4.6000000000000005,left,left,True,68.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,4.6000000000000005,299,True
Confidence Matching EEG,R67369/RE001,,,2021_Sep_28_1252,None,,,,True,False,None,None,5,2,0,2,200,299,4.6000000000000005,right,right,True,77.25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,4.6000000000000005,299,True
Confidence Matching EEG,R67369/RE001,,,2021_Sep_28_1252,None,,,,True,False,overconfident,yellow,6,3,1,1,200,299,4.6000000000000005,right,left,False,64.88,right,True,93.18,None,None,None,0.12334144000000005,None,None,None,None,None,None,None,None,None,None,200,4.6000000000000005,299,False
Confidence Matching EEG,R67369/RE001,,,2021_Sep_28_1252,None,,,,True,False,overconfident,yellow,7,3,1,2,200,299,4.6000000000000005,left,left,True,75.0,left,True,90.98,None,None,None,0.5625,None,None,None,None,None,None,None,None,None,None,200,4.6000000000000005,299,True
Confidence Matching EEG,R67369/RE001,,,2021_Sep_28_1252,None,,,,True,False,underconfident,magenta,8,4,1,1,200,299,4.6000000000000005,right,right,True,62.38,right,True,67.99,None,None,None,0.38912644,None,None,None,None,None,None,None,None,None,None,200,4.6000000000000005,299,True
Confidence Matching EEG,R67369/RE001,,,2021_Sep_28_1252,None,,,,True,False,underconfident,magenta,9,4,1,2,200,299,4.6000000000000005,left,left,True,70.0,left,True,69.42,None,None,None,0.48999999999999994,None,None,None,None,None,None,None,None,None,None,200,4.6000000000000005,299,True
