expName,session,condition,date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,block_with_partner,trial_in_block,dot_count_low,dot_count_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,joint_correct,participant_chosen,partner_chosen,trial_score,final_score,reward,p1_likeability,p1_confidence,p1_accuracy,p1_team_work,p2_likeability,p2_confidence,p2_accuracy,p2_team_work,next_dot_count_low,next_stair_value,next_dot_count_high,previous_trial_correct
Confidence Matching EEG,,,2021_Sep_28_0223,,,,False,True,None,None,0,1,200,267,4.2,right,left,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,4.6000000000000005,299,False
Confidence Matching EEG,,,2021_Sep_28_0223,,,,False,True,None,None,0,2,200,299,4.6000000000000005,right,right,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,4.6000000000000005,299,True
Confidence Matching EEG,,,2021_Sep_28_0223,,,,False,True,None,None,0,3,200,299,4.6000000000000005,right,right,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,4.2,267,True
Confidence Matching EEG,,,2021_Sep_28_0223,,,,False,True,None,None,0,4,200,267,4.2,right,right,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,245,True
Confidence Matching EEG,,,2021_Sep_28_0223,,,,False,True,None,None,0,5,200,245,3.8000000000000003,left,left,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,230,True
Confidence Matching EEG,,,2021_Sep_28_0223,,,,True,False,None,None,0,1,200,230,3.4000000000000004,left,left,True,75.62,None,None,None,None,None,None,0.5718384400000002,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,230,True
Confidence Matching EEG,,,2021_Sep_28_0223,,,,True,False,None,None,0,2,200,230,3.4000000000000004,left,left,True,92.12,None,None,None,None,None,None,0.84860944,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,230,True
Confidence Matching EEG,,,2021_Sep_28_0223,,,,True,False,None,None,0,3,200,230,3.4000000000000004,right,left,False,92.12,None,None,None,None,None,None,0.006209439999999997,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,230,False
Confidence Matching EEG,,,2021_Sep_28_0223,,,,True,False,None,None,0,4,200,230,3.4000000000000004,right,right,True,61.38,None,None,None,None,None,None,0.37675044,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,230,True
Confidence Matching EEG,,,2021_Sep_28_0223,,,,True,False,None,None,0,5,200,230,3.4000000000000004,left,left,True,75.38,None,None,None,None,None,None,0.5682144399999999,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,230,True
Confidence Matching EEG,,,2021_Sep_28_0223,,,,True,False,overconfident,yellow,1,1,200,230,3.4000000000000004,right,left,False,66.0,right,True,93.02,None,None,None,0.11559999999999998,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,230,False
Confidence Matching EEG,,,2021_Sep_28_0223,,,,True,False,overconfident,yellow,1,2,200,230,3.4000000000000004,left,left,True,75.38,left,True,93.18,None,None,None,0.5682144399999999,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,230,True
Confidence Matching EEG,,,2021_Sep_28_0223,,,,True,False,overconfident,yellow,1,3,200,230,3.4000000000000004,left,left,True,92.5,right,False,89.43,None,None,None,0.8556250000000001,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,230,True
Confidence Matching EEG,,,2021_Sep_28_0223,,,,True,False,overconfident,yellow,2,1,200,230,3.4000000000000004,right,left,False,76.12,right,True,88.45,None,None,None,0.057025439999999955,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,230,False
Confidence Matching EEG,,,2021_Sep_28_0223,,,,True,False,overconfident,yellow,2,2,200,230,3.4000000000000004,right,right,True,73.5,right,True,92.35,None,None,None,0.540225,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,230,True
Confidence Matching EEG,,,2021_Sep_28_0223,,,,True,False,overconfident,yellow,2,3,200,230,3.4000000000000004,right,right,True,90.88,left,False,90.42,None,None,None,0.8259174399999999,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,230,True
Confidence Matching EEG,,,2021_Sep_28_0223,,,,True,False,overconfident,yellow,3,1,200,230,3.4000000000000004,right,right,True,80.12,left,False,89.89,None,None,None,0.6419214400000001,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,230,True
Confidence Matching EEG,,,2021_Sep_28_0223,,,,True,False,overconfident,yellow,3,2,200,230,3.4000000000000004,right,right,True,91.25,left,False,94.89,None,None,None,0.83265625,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,230,True
Confidence Matching EEG,,,2021_Sep_28_0223,,,,True,False,overconfident,yellow,3,3,200,230,3.4000000000000004,right,right,True,71.12,right,True,88.88,None,None,None,0.50580544,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,230,True
Confidence Matching EEG,,,2021_Sep_28_0223,,,,True,False,underconfident,magenta,1,1,200,230,3.4000000000000004,right,left,False,81.62,right,True,66.15,None,None,None,0.03378243999999999,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,230,False
