expName,curec_ID,session,condition,task,date,end_date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,trial_count,block_count,block_with_partner,trial_in_block,dot_count_low,dot_count_high,squircle_value_low,squircle_value_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,joint_correct,participant_chosen,partner_chosen,decision_rt,confidence_rt,trial_score,final_score,reward,p1_likeability,p1_confidence,p1_accuracy,p1_team_work,p2_likeability,p2_confidence,p2_accuracy,p2_team_work,next_dot_count_low,next_stair_value,next_dot_count_high,next_squircle_difference,previous_trial_correct
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_08_1701,None,,,,False,True,None,None,1,1,0,1,200,267,None,None,4.2,right,right,True,None,None,None,None,None,None,None,0.6265888000052655,None,None,None,None,None,None,None,None,None,None,None,None,200,4.2,267,0.25,True
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_08_1701,None,,,,False,True,None,None,2,1,0,2,200,267,None,None,4.2,left,left,True,None,None,None,None,None,None,None,0.5830038000131026,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,245,0.25,True
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_08_1701,None,,,,False,True,None,None,3,1,0,3,200,245,None,None,3.8000000000000003,right,right,True,None,None,None,None,None,None,None,1.1335096999973757,None,None,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,230,0.25,True
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_08_1701,None,,,,False,True,None,None,4,1,0,4,200,230,None,None,3.4000000000000004,left,right,False,None,None,None,None,None,None,None,1.4421637000050396,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,245,0.25,False
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_08_1701,None,,,,False,True,None,None,5,1,0,5,200,245,None,None,3.8000000000000003,left,left,True,None,None,None,None,None,None,None,1.1294557000073837,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,245,0.25,True
