expName,curec_ID,session,condition,task,date,end_date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,trial_count,block_count,block_with_partner,trial_in_block,dot_count_low,dot_count_high,squircle_value_low,squircle_value_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,joint_correct,participant_chosen,partner_chosen,decision_rt,confidence_rt,trial_score,final_score,reward,p1_likeability,p1_confidence,p1_accuracy,p1_team_work,p2_likeability,p2_confidence,p2_accuracy,p2_team_work,next_dot_count_low,next_stair_value,next_dot_count_high,next_squircle_difference,previous_trial_correct
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_08_1704,None,,,,False,True,None,None,1,1,0,1,None,None,0.35,0.6,4.2,left,left,True,None,None,None,None,None,None,None,0.6360010000062175,None,None,None,None,None,None,None,None,None,None,None,None,200,4.2,267,0.067,True
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_08_1704,None,,,,False,True,None,None,2,1,0,2,None,None,0.37,0.437,4.2,right,right,True,None,None,None,None,None,None,None,1.1137480000033975,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,267,0.045,True
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_08_1704,None,,,,False,True,None,None,3,1,0,3,None,None,0.42,0.46499999999999997,3.8000000000000003,right,right,True,None,None,None,None,None,None,None,1.1458620999910636,None,None,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,267,0.03,True
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_08_1704,None,,,,False,True,None,None,4,1,0,4,None,None,0.31,0.33999999999999997,3.4000000000000004,right,left,False,None,None,None,None,None,None,None,0.792908699993859,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,267,0.045,False
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_08_1704,None,,,,False,True,None,None,5,1,0,5,None,None,0.79,0.8350000000000001,3.8000000000000003,right,right,True,None,None,None,None,None,None,None,0.8434221999923466,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,267,0.045,True
