expName,curec_ID,session,condition,date,end_date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,trial_count,block_count,block_with_partner,trial_in_block,dot_count_low,dot_count_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,joint_correct,participant_chosen,partner_chosen,trial_score,final_score,reward,p1_likeability,p1_confidence,p1_accuracy,p1_team_work,p2_likeability,p2_confidence,p2_accuracy,p2_team_work,next_dot_count_low,next_stair_value,next_dot_count_high,previous_trial_correct
Confidence Matching EEG,R67369/RE001,1,ns,2021_Sep_28_1154,None,2,24,f,False,True,None,None,1,1,0,1,200,267,4.2,left,left,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,4.2,267,True
Confidence Matching EEG,R67369/RE001,1,ns,2021_Sep_28_1154,None,2,24,f,False,True,None,None,2,1,0,2,200,267,4.2,left,right,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,4.6000000000000005,299,False
Confidence Matching EEG,R67369/RE001,1,ns,2021_Sep_28_1154,None,2,24,f,False,True,None,None,3,1,0,3,200,299,4.6000000000000005,right,right,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,4.6000000000000005,299,True
Confidence Matching EEG,R67369/RE001,1,ns,2021_Sep_28_1154,None,2,24,f,False,True,None,None,4,1,0,4,200,299,4.6000000000000005,right,right,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,4.2,267,True
Confidence Matching EEG,R67369/RE001,1,ns,2021_Sep_28_1154,None,2,24,f,False,True,None,None,5,1,0,5,200,267,4.2,right,right,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,245,True
Confidence Matching EEG,R67369/RE001,1,ns,2021_Sep_28_1154,None,2,24,f,True,False,None,None,6,2,0,1,200,245,3.8000000000000003,right,right,True,75.12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,245,True
Confidence Matching EEG,R67369/RE001,1,ns,2021_Sep_28_1154,None,2,24,f,True,False,None,None,7,2,0,2,200,245,3.8000000000000003,right,left,False,78.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,245,False
Confidence Matching EEG,R67369/RE001,1,ns,2021_Sep_28_1154,None,2,24,f,True,False,None,None,8,2,0,3,200,245,3.8000000000000003,left,left,True,85.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,245,True
Confidence Matching EEG,R67369/RE001,1,ns,2021_Sep_28_1154,None,2,24,f,True,False,None,None,9,2,0,4,200,245,3.8000000000000003,left,left,True,75.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,245,True
Confidence Matching EEG,R67369/RE001,1,ns,2021_Sep_28_1154,None,2,24,f,True,False,None,None,10,2,0,5,200,245,3.8000000000000003,right,left,False,85.12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,245,False
Confidence Matching EEG,R67369/RE001,1,ns,2021_Sep_28_1154,None,2,24,f,True,False,overconfident,yellow,11,3,1,1,200,245,3.8000000000000003,left,left,True,76.25,left,True,90.7,None,None,None,0.5814062499999999,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,245,True
Confidence Matching EEG,R67369/RE001,1,ns,2021_Sep_28_1154,None,2,24,f,True,False,overconfident,yellow,12,3,1,2,200,245,3.8000000000000003,right,right,True,86.62,right,True,91.09,None,None,None,0.7503024400000001,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,245,True
Confidence Matching EEG,R67369/RE001,1,ns,2021_Sep_28_1154,None,2,24,f,True,False,overconfident,yellow,13,3,1,3,200,245,3.8000000000000003,left,left,True,77.38,left,True,94.22,None,None,None,0.5987664399999999,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,245,True
Confidence Matching EEG,R67369/RE001,1,ns,2021_Sep_28_1154,None,2,24,f,True,False,overconfident,yellow,14,4,2,1,200,245,3.8000000000000003,left,left,True,76.88,right,False,94.21,None,None,None,0.5910534399999999,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,245,True
Confidence Matching EEG,R67369/RE001,1,ns,2021_Sep_28_1154,None,2,24,f,True,False,overconfident,yellow,15,4,2,2,200,245,3.8000000000000003,right,left,False,84.38,right,True,89.6,None,None,None,0.02439844,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,245,False
Confidence Matching EEG,R67369/RE001,1,ns,2021_Sep_28_1154,None,2,24,f,True,False,overconfident,yellow,16,4,2,3,200,245,3.8000000000000003,left,left,True,87.12,left,True,92.53,None,None,None,0.7589894400000001,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,245,True
