expName,session,condition,date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,block_with_partner,trial_in_block,dot_count_low,dot_count_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,joint_correct,participant_chosen,partner_chosen,trial_score,final_score,reward,p1_likeability,p1_confidence,p1_accuracy,p1_team_work,p2_likeability,p2_confidence,p2_accuracy,p2_team_work,next_dot_count_low,next_stair_value,next_dot_count_high,previous_trial_correct
Confidence Matching EEG,,,2021_Sep_28_0231,,,,True,False,underconfident,yellow,1,1,200,213,2.6000000000000005,left,left,True,77.0,right,False,61.1,None,None,None,0.5929,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_28_0231,,,,True,False,underconfident,yellow,1,2,200,213,2.6000000000000005,right,right,True,76.75,right,True,67.64,None,None,None,0.58905625,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_28_0231,,,,True,False,underconfident,yellow,1,3,200,213,2.6000000000000005,right,left,False,74.38,right,True,69.4,None,None,None,0.06563844000000005,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,,2021_Sep_28_0231,,,,True,False,underconfident,yellow,2,1,200,213,2.6000000000000005,left,left,True,77.75,left,True,67.37,None,None,None,0.6045062499999999,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_28_0231,,,,True,False,underconfident,yellow,2,2,200,213,2.6000000000000005,left,left,True,88.38,left,True,64.9,None,None,None,0.7811024399999998,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_28_0231,,,,True,False,underconfident,yellow,2,3,200,213,2.6000000000000005,right,left,False,83.38,right,True,62.55,None,None,None,0.027622440000000005,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,,2021_Sep_28_0231,,,,True,False,underconfident,yellow,3,1,200,213,2.6000000000000005,right,left,False,73.12,left,False,68.8,None,None,None,0.07225343999999996,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,,2021_Sep_28_0231,,,,True,False,underconfident,yellow,3,2,200,213,2.6000000000000005,right,left,False,93.25,right,True,70.54,None,None,None,0.00455625,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,,2021_Sep_28_0231,,,,True,False,underconfident,yellow,3,3,200,213,2.6000000000000005,right,right,True,73.0,left,False,69.87,None,None,None,0.5328999999999999,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_28_0231,,,,True,False,overconfident,magenta,1,1,200,213,2.6000000000000005,left,left,True,76.25,left,True,90.87,None,None,None,0.5814062499999999,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_28_0231,,,,True,False,overconfident,magenta,1,2,200,213,2.6000000000000005,right,left,False,60.62,right,True,87.39,None,None,None,0.15507844000000004,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,,2021_Sep_28_0231,,,,True,False,overconfident,magenta,1,3,200,213,2.6000000000000005,left,left,True,85.38,left,True,93.25,None,None,None,0.72897444,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_28_0231,,,,True,False,overconfident,magenta,2,1,200,213,2.6000000000000005,right,right,True,78.25,right,True,91.13,None,None,None,0.6123062499999999,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_28_0231,,,,True,False,overconfident,magenta,2,2,200,213,2.6000000000000005,right,left,False,70.12,right,True,92.83,None,None,None,0.08928143999999998,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,,2021_Sep_28_0231,,,,True,False,overconfident,magenta,2,3,200,213,2.6000000000000005,left,left,True,91.88,left,True,92.06,None,None,None,0.84419344,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_28_0231,,,,True,False,overconfident,magenta,3,1,200,213,2.6000000000000005,left,left,True,82.88,left,True,90.9,None,None,None,0.68690944,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_28_0231,,,,True,False,overconfident,magenta,3,2,200,213,2.6000000000000005,left,left,True,97.88,left,True,91.34,None,None,None,0.95804944,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_28_0231,,,,True,False,overconfident,magenta,3,3,200,213,2.6000000000000005,left,left,True,81.0,left,True,95.76,None,None,None,0.6561000000000001,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0.0,8,7,5,5,9,7,5,4,None,None,None,None
