expName,curec_ID,session,condition,date,end_date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,trial_count,block_count,block_with_partner,trial_in_block,dot_count_low,dot_count_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,joint_correct,participant_chosen,partner_chosen,trial_score,final_score,reward,p1_likeability,p1_confidence,p1_accuracy,p1_team_work,p2_likeability,p2_confidence,p2_accuracy,p2_team_work,next_dot_count_low,next_stair_value,next_dot_count_high,previous_trial_correct
Confidence Matching EEG,R67369/RE001,,,2021_Sep_29_1015,None,,,,False,True,None,None,1,1,0,1,200,267,4.2,right,left,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,4.6000000000000005,299,False
Confidence Matching EEG,R67369/RE001,,,2021_Sep_29_1015,None,,,,False,True,None,None,2,1,0,2,200,299,4.6000000000000005,right,left,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,5.000000000000001,300,False
Confidence Matching EEG,R67369/RE001,,,2021_Sep_29_1015,None,,,,False,True,None,None,3,1,0,3,200,300,5.000000000000001,right,left,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,5.400000000000001,300,False
Confidence Matching EEG,R67369/RE001,,,2021_Sep_29_1015,None,,,,False,True,None,None,4,1,0,4,200,300,5.400000000000001,right,right,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,5.400000000000001,300,True
Confidence Matching EEG,R67369/RE001,,,2021_Sep_29_1015,None,,,,False,True,None,None,5,1,0,5,200,300,5.400000000000001,right,right,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,5.000000000000001,300,True
Confidence Matching EEG,R67369/RE001,,,2021_Sep_29_1015,None,,,,True,False,None,None,6,2,0,1,200,300,5.000000000000001,right,right,True,74.62,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,5.000000000000001,300,True
Confidence Matching EEG,R67369/RE001,,,2021_Sep_29_1015,None,,,,True,False,None,None,7,2,0,2,200,300,5.000000000000001,right,left,False,68.75,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,5.000000000000001,300,False
Confidence Matching EEG,R67369/RE001,,,2021_Sep_29_1015,None,,,,True,False,None,None,8,2,0,3,200,300,5.000000000000001,right,left,False,75.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,5.000000000000001,300,False
