expName,curec_ID,session,condition,task,date,end_date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,trial_count,block_count,block_with_partner,trial_in_block,dot_count_low,dot_count_high,squircle_value_low,squircle_value_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,joint_correct,participant_chosen,partner_chosen,decision_rt,confidence_rt,trial_score,final_score,reward,p1_likeability,p1_confidence,p1_accuracy,p1_team_work,p2_likeability,p2_confidence,p2_accuracy,p2_team_work,next_dot_count_low,next_stair_value,next_dot_count_high,next_squircle_difference,previous_trial_correct
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_08_1706,None,,,,False,True,None,None,1,1,0,1,None,None,0.19,0.44,4.2,left,left,True,None,None,None,None,None,None,None,0.8097976999997627,None,None,None,None,None,None,None,None,None,None,None,None,200,4.2,267,0.067,True
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_08_1706,None,,,,False,True,None,None,2,1,0,2,None,None,0.72,0.7869999999999999,4.2,right,right,True,None,None,None,None,None,None,None,0.815292600003886,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,267,0.045,True
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_08_1706,None,,,,False,True,None,None,3,1,0,3,None,None,0.14,0.185,3.8000000000000003,right,right,True,None,None,None,None,None,None,None,0.9882391999999527,None,None,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,267,0.03,True
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_08_1706,None,,,,False,True,None,None,4,1,0,4,None,None,0.82,0.85,3.4000000000000004,right,right,True,None,None,None,None,None,None,None,1.0927332999999635,None,None,None,None,None,None,None,None,None,None,None,None,200,3.0000000000000004,267,0.02,True
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_08_1706,None,,,,False,True,None,None,5,1,0,5,None,None,0.24,0.26,3.0000000000000004,right,left,False,None,None,None,None,None,None,None,0.7964225000032457,None,None,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,267,0.03,False
Confidence Matching EEG,R67369/RE001,,,s,2021_Oct_08_1706,None,,,,True,False,None,None,6,2,0,1,None,None,0.73,0.76,3.4000000000000004,right,right,True,66.62,None,None,None,None,None,None,0.7641302999982145,None,None,None,None,None,None,None,None,None,None,None,None,200,3.4000000000000004,267,0.03,True
